Frame	Time	handball_6 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
2063	6.87333	374.63775	88.73667	1262.20183	-30.21906	-46.13460	169.68141	1.96838	-0.68176	-0.20222	-0.70307	-0.12413	-0.91513	0.38358	-0.72097	0.34878	0.59880	
2064	6.87667	375.18802	88.85677	1261.17369	-30.68859	-46.20738	169.36894	1.94448	-0.68017	-0.20344	-0.70426	-0.12767	-0.91316	0.38709	-0.72185	0.35320	0.59513	
2065	6.88000	375.71760	89.00229	1260.08424	-31.15746	-46.24328	169.07692	1.93958	-0.67907	-0.20478	-0.70494	-0.13105	-0.91106	0.39090	-0.72228	0.35783	0.59183	
2066	6.88333	376.29706	89.15326	1259.01686	-31.63959	-46.26803	168.78671	1.94083	-0.67809	-0.20625	-0.70545	-0.13443	-0.90882	0.39493	-0.72258	0.36263	0.58854	
2067	6.88667	376.85823	89.34156	1257.81984	-32.06372	-46.26432	168.55354	1.89310	-0.67758	-0.20776	-0.70549	-0.13720	-0.90672	0.39879	-0.72254	0.36700	0.58588	
2068	6.89000	377.55187	89.52892	1256.64839	-32.49973	-46.28689	168.33429	1.90854	-0.67677	-0.20980	-0.70566	-0.13973	-0.90450	0.40293	-0.72281	0.37130	0.58283	
2069	6.89333	378.30366	89.71353	1255.32126	-32.85040	-46.26349	168.19403	1.89120	-0.67672	-0.21176	-0.70513	-0.14145	-0.90251	0.40678	-0.72253	0.37502	0.58079	
2070	6.89667	379.09785	89.88839	1254.04155	-33.22804	-46.28590	168.04234	1.87804	-0.67606	-0.21417	-0.70503	-0.14318	-0.90041	0.41081	-0.72280	0.37868	0.57807	
2071	6.90000	379.88191	90.07820	1252.71954	-33.59890	-46.28881	167.90924	1.87246	-0.67569	-0.21666	-0.70462	-0.14474	-0.89824	0.41499	-0.72283	0.38240	0.57558	
2072	6.90333	380.54878	90.63171	1251.28985	-33.65871	-46.28381	168.02821	2.06510	-0.67606	-0.21922	-0.70348	-0.14335	-0.89734	0.41740	-0.72277	0.38303	0.57523	
2073	6.90667	381.33354	90.80194	1249.95706	-34.03472	-46.24429	167.90715	2.03054	-0.67624	-0.22168	-0.70254	-0.14488	-0.89500	0.42188	-0.72230	0.38708	0.57312	
2074	6.91000	382.13402	91.01952	1248.51037	-34.34774	-46.22136	167.84126	2.04427	-0.67635	-0.22434	-0.70158	-0.14572	-0.89291	0.42600	-0.72202	0.39037	0.57123	
2075	6.91333	383.03732	91.22886	1247.06842	-34.59195	-46.20453	167.84192	2.07255	-0.67656	-0.22723	-0.70045	-0.14576	-0.89106	0.42985	-0.72181	0.39292	0.56974	
2076	6.91667	383.95548	91.42851	1245.60228	-34.89201	-46.19774	167.80988	2.07910	-0.67656	-0.23035	-0.69943	-0.14616	-0.88891	0.43413	-0.72173	0.39594	0.56774	
2077	6.92000	384.88897	91.60457	1244.08854	-35.15401	-46.19503	167.80753	2.07940	-0.67659	-0.23349	-0.69836	-0.14619	-0.88693	0.43817	-0.72170	0.39856	0.56595	
2078	6.92333	385.78327	91.73396	1242.56214	-35.38221	-46.20462	167.82831	2.09450	-0.67653	-0.23666	-0.69736	-0.14592	-0.88510	0.44193	-0.72182	0.40074	0.56426	
2079	6.92667	386.72807	91.84128	1240.96650	-35.63428	-46.25293	167.84845	2.12310	-0.67598	-0.24036	-0.69661	-0.14555	-0.88314	0.44597	-0.72240	0.40286	0.56200	
2080	6.93000	387.71667	91.96464	1239.32176	-35.88964	-46.33967	167.84966	2.11401	-0.67492	-0.24408	-0.69636	-0.14531	-0.88126	0.44973	-0.72345	0.40472	0.55931	
2081	6.93333	388.75616	92.05905	1237.65688	-36.14798	-46.40653	167.85385	2.10557	-0.67410	-0.24775	-0.69585	-0.14508	-0.87931	0.45362	-0.72425	0.40674	0.55680	
2082	6.93667	389.76816	92.14585	1235.95377	-36.42620	-46.48414	167.85884	2.12267	-0.67315	-0.25174	-0.69533	-0.14482	-0.87719	0.45778	-0.72518	0.40886	0.55403	
2083	6.94000	390.78931	92.23432	1234.22002	-36.68105	-46.57312	167.85759	2.12589	-0.67205	-0.25544	-0.69505	-0.14460	-0.87529	0.46148	-0.72625	0.41064	0.55130	
2084	6.94333	391.75678	92.37262	1232.49259	-36.95709	-46.64164	167.81075	2.13375	-0.67108	-0.25855	-0.69484	-0.14496	-0.87337	0.46499	-0.72707	0.41277	0.54862	
2085	6.94667	392.82756	92.28629	1230.76000	-37.35323	-46.69689	167.64851	2.05918	-0.66998	-0.26128	-0.69488	-0.14671	-0.87096	0.46894	-0.72774	0.41613	0.54520	
2086	6.95000	393.91926	92.33381	1228.96430	-37.67456	-46.74356	167.49121	2.06979	-0.66900	-0.26312	-0.69513	-0.14842	-0.86911	0.47182	-0.72829	0.41882	0.54238	
2087	6.95333	395.05809	92.58245	1227.04086	-37.75454	-46.82087	167.56966	2.22650	-0.66824	-0.26583	-0.69483	-0.14729	-0.86821	0.47382	-0.72922	0.41897	0.54102	
2088	6.95667	396.29703	92.59491	1225.15371	-38.15359	-46.88698	167.41049	2.24262	-0.66701	-0.26874	-0.69490	-0.14897	-0.86575	0.47780	-0.73001	0.42221	0.53743	
2089	6.96000	397.58242	92.52469	1223.32259	-38.53381	-46.91529	167.25993	2.28533	-0.66626	-0.27128	-0.69462	-0.15064	-0.86332	0.48165	-0.73034	0.42554	0.53433	
2090	6.96333	398.86659	92.35627	1221.39822	-38.97092	-46.96606	167.05934	2.32386	-0.66510	-0.27393	-0.69470	-0.15282	-0.86067	0.48569	-0.73095	0.42920	0.53057	
2091	6.96667	400.26049	92.13320	1219.45142	-39.50128	-47.01273	166.79655	2.34954	-0.66381	-0.27676	-0.69481	-0.15574	-0.85749	0.49036	-0.73151	0.43371	0.52611	
2092	6.97000	402.00583	91.56477	1217.32747	-40.39679	-47.04087	166.29362	2.49621	-0.66207	-0.28033	-0.69504	-0.16147	-0.85227	0.49756	-0.73184	0.44165	0.51900	
2093	6.97333	403.17913	91.45909	1215.53598	-41.00977	-47.20026	165.98590	2.25905	-0.65922	-0.28440	-0.69610	-0.16453	-0.84873	0.50258	-0.73373	0.44584	0.51270	
2094	6.97667	404.95420	90.87307	1213.38306	-41.73604	-47.44136	165.62057	2.36554	-0.65516	-0.28967	-0.69776	-0.16796	-0.84462	0.50834	-0.73659	0.45024	0.50470	
2095	6.98000	406.54702	90.37839	1211.25811	-42.71879	-47.56889	165.09418	2.30920	-0.65200	-0.29489	-0.69853	-0.17355	-0.83877	0.51608	-0.73809	0.45772	0.49570	
2096	6.98333	407.99421	89.92432	1208.26136	-44.70795	-48.11210	164.04820	2.35951	-0.64197	-0.30823	-0.70205	-0.18350	-0.82727	0.53100	-0.74445	0.46971	0.47452	
2097	6.98667	409.74083	89.25154	1206.06404	-45.77800	-48.28177	163.48766	2.39570	-0.63802	-0.31463	-0.70280	-0.18914	-0.82071	0.53913	-0.74643	0.47690	0.46412	
2098	6.99000	411.59047	88.49088	1203.84394	-46.84727	-48.43768	162.88644	2.36723	-0.63406	-0.32043	-0.70377	-0.19523	-0.81429	0.54664	-0.74823	0.48400	0.45375	
2099	6.99333	413.63567	87.68394	1201.57420	-48.04700	-48.56256	162.25731	2.32691	-0.63032	-0.32729	-0.70397	-0.20168	-0.80663	0.55559	-0.74968	0.49218	0.44243	
2100	6.99667	415.70608	86.80663	1199.40597	-49.25736	-48.66068	161.56300	2.28414	-0.62661	-0.33324	-0.70449	-0.20890	-0.79907	0.56378	-0.75081	0.50044	0.43109	
2101	7.00000	417.75682	85.92955	1197.12088	-50.35193	-48.79347	160.99313	2.22819	-0.62286	-0.33989	-0.70464	-0.21455	-0.79194	0.57166	-0.75234	0.50724	0.42034	
2102	7.00333	419.96113	84.89535	1194.97090	-51.58256	-48.86990	160.23698	2.21301	-0.61903	-0.34528	-0.70540	-0.22241	-0.78433	0.57910	-0.75322	0.51537	0.40873	
2103	7.00667	422.23429	83.79173	1192.83639	-52.76266	-48.97859	159.56331	2.18107	-0.61503	-0.35156	-0.70579	-0.22918	-0.77676	0.58661	-0.75446	0.52254	0.39716	
2104	7.01000	424.66471	82.59725	1190.67973	-53.99893	-49.04110	158.75911	2.17029	-0.61099	-0.35649	-0.70683	-0.23749	-0.76921	0.59323	-0.75518	0.53032	0.38531	
2105	7.01333	427.21420	81.34529	1188.57727	-55.20075	-49.04733	157.95874	2.14169	-0.60753	-0.36068	-0.70768	-0.24597	-0.76173	0.59939	-0.75525	0.53822	0.37406	
2106	7.01667	429.82809	80.02765	1186.56309	-56.41952	-49.01193	157.15787	2.11706	-0.60446	-0.36484	-0.70818	-0.25462	-0.75385	0.60570	-0.75485	0.54644	0.36278	
2107	7.02000	432.48903	78.58864	1184.54354	-57.58201	-49.02791	156.38751	2.13254	-0.60079	-0.36927	-0.70900	-0.26264	-0.74650	0.61135	-0.75503	0.55351	0.35151	
2108	7.02333	435.22181	77.09229	1182.61909	-58.75562	-49.02470	155.60229	2.10512	-0.59718	-0.37359	-0.70979	-0.27086	-0.73900	0.61685	-0.75499	0.56063	0.34012	
2109	7.02667	437.94218	75.66482	1180.71624	-59.76493	-48.92874	154.88893	2.11559	-0.59490	-0.37609	-0.71039	-0.27881	-0.73237	0.62121	-0.75389	0.56762	0.33083	
2110	7.03000	440.81308	74.03997	1178.85345	-60.80658	-48.86989	154.17441	2.10632	-0.59208	-0.37939	-0.71099	-0.28655	-0.72549	0.62574	-0.75322	0.57422	0.32083	
2111	7.03333	443.79260	72.33830	1177.04570	-61.91452	-48.79133	153.41151	2.09413	-0.58913	-0.38282	-0.71160	-0.29487	-0.71807	0.63042	-0.75232	0.58123	0.31016	
2112	7.03667	446.81739	70.63369	1175.31653	-62.96017	-48.62133	152.69093	2.06001	-0.58736	-0.38528	-0.71174	-0.30328	-0.71057	0.63492	-0.75036	0.58878	0.30051	
2113	7.04000	449.87613	68.83943	1173.55920	-63.85856	-48.55754	152.06255	2.10405	-0.58473	-0.38810	-0.71237	-0.31009	-0.70452	0.63835	-0.74962	0.59416	0.29161	
2114	7.04333	452.93428	67.08596	1171.90519	-64.73978	-48.47625	151.52835	2.04670	-0.58275	-0.39177	-0.71198	-0.31603	-0.69790	0.64269	-0.74868	0.59954	0.28289	
2115	7.04667	456.10396	65.14176	1170.26828	-65.65363	-48.32483	150.91354	2.06468	-0.58105	-0.39427	-0.71199	-0.32323	-0.69107	0.64648	-0.74693	0.60578	0.27411	
2116	7.05000	459.33174	63.14773	1168.61162	-66.45117	-48.16708	150.37891	2.06909	-0.57980	-0.39630	-0.71188	-0.32965	-0.68492	0.64978	-0.74509	0.61142	0.26647	
2117	7.05333	462.45331	61.13572	1166.91978	-67.00436	-47.87642	150.07494	2.19205	-0.58131	-0.39685	-0.71035	-0.33461	-0.67918	0.65326	-0.74170	0.61743	0.26203	
2118	7.05667	465.87185	58.91777	1165.42262	-67.84592	-47.68497	149.57990	2.19379	-0.58053	-0.39964	-0.70942	-0.34087	-0.67196	0.65748	-0.73945	0.62351	0.25387	
2119	7.06000	469.37458	56.64014	1164.00580	-68.79647	-47.45761	149.02135	2.12810	-0.57969	-0.40275	-0.70834	-0.34802	-0.66365	0.66216	-0.73678	0.63036	0.24455	
2120	7.06333	472.88133	54.27489	1162.54413	-69.67839	-47.24947	148.52150	2.11397	-0.57891	-0.40593	-0.70717	-0.35446	-0.65576	0.66659	-0.73432	0.63656	0.23574	
2121	7.06667	476.42723	51.93447	1161.15380	-70.51798	-47.09742	148.12675	2.10665	-0.57811	-0.41034	-0.70527	-0.35947	-0.64788	0.67160	-0.73251	0.64178	0.22704	
2122	7.07000	479.90558	48.81183	1160.08630	-70.77399	-47.13258	148.21385	2.04564	-0.57827	-0.41480	-0.70252	-0.35835	-0.64445	0.67548	-0.73293	0.64236	0.22402	
2123	7.07333	483.68439	46.27945	1158.80776	-71.60520	-46.77669	147.77275	1.98965	-0.57934	-0.41665	-0.70055	-0.36521	-0.63569	0.68009	-0.72869	0.64985	0.21611	
2124	7.07667	487.47728	43.67597	1157.59599	-72.46665	-46.39787	147.40007	1.95719	-0.58099	-0.41941	-0.69753	-0.37156	-0.62582	0.68578	-0.72415	0.65761	0.20776	
2125	7.08000	491.20527	40.92995	1156.36944	-73.30984	-46.02273	147.05414	1.97525	-0.58271	-0.42226	-0.69437	-0.37763	-0.61588	0.69143	-0.71962	0.66512	0.19942	
2126	7.08333	494.98986	38.04868	1155.25419	-74.16752	-45.65441	146.73885	1.95455	-0.58448	-0.42566	-0.69079	-0.38336	-0.60547	0.69745	-0.71514	0.67247	0.19070	
2127	7.08667	498.87743	35.09059	1154.22868	-75.00650	-45.28600	146.42291	1.97958	-0.58617	-0.42882	-0.68740	-0.38911	-0.59518	0.70310	-0.71063	0.67962	0.18202	
2128	7.09000	502.85294	32.09144	1153.43266	-75.81017	-44.83530	146.17058	1.93993	-0.58908	-0.43136	-0.68331	-0.39479	-0.58419	0.70913	-0.70507	0.68750	0.17383	
2129	7.09333	506.78296	29.05293	1152.64464	-76.67077	-44.34839	145.88301	1.91172	-0.59203	-0.43381	-0.67920	-0.40109	-0.57238	0.71520	-0.69902	0.69584	0.16486	
2130	7.09667	510.82819	25.99926	1152.05934	-77.52637	-43.85825	145.63358	1.85119	-0.59519	-0.43651	-0.67469	-0.40702	-0.56017	0.72148	-0.69288	0.70404	0.15574	
