FILE_VERSION	2.0.0
NO_OF_FRAMES	16296
NO_OF_CAMERAS	8
NO_OF_MARKERS	6
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-08-06, 08:59:33.376	5996.27357670
DATA_INCLUDED	3D
MARKER_NAMES	handball_6 - 1	handball_6 - 2	handball_6 - 3	handball_6 - 4	handball_6 - 5	handball_6 - 6
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	handball_6 - 1 X	handball_6 - 1 Y	handball_6 - 1 Z	handball_6 - 2 X	handball_6 - 2 Y	handball_6 - 2 Z	handball_6 - 3 X	handball_6 - 3 Y	handball_6 - 3 Z	handball_6 - 4 X	handball_6 - 4 Y	handball_6 - 4 Z	handball_6 - 5 X	handball_6 - 5 Y	handball_6 - 5 Z	handball_6 - 6 X	handball_6 - 6 Y	handball_6 - 6 Z	
31	0.10000	129.851	1029.068	1065.140	303.852	1088.452	1143.149	151.183	1140.789	1145.568	213.263	1050.975	1006.361	196.647	1011.741	1188.889	254.339	974.930	1089.744
32	0.10333	129.287	1028.961	1065.675	303.203	1088.233	1143.773	150.609	1140.680	1145.920	212.743	1050.464	1006.884	195.892	1011.622	1189.502	253.679	974.705	1090.296
33	0.10667	128.680	1028.851	1066.366	302.628	1087.991	1144.334	150.113	1140.691	1146.383	212.163	1050.069	1007.686	195.168	1011.640	1190.087	252.920	974.540	1091.103
34	0.11000	127.950	1028.707	1067.011	301.880	1087.872	1144.819	149.457	1140.655	1146.906	211.447	1049.944	1008.317	194.476	1011.652	1190.729	252.074	974.259	1091.773
35	0.11333	127.175	1028.752	1067.606	301.538	1087.467	1145.323	149.171	1140.743	1147.392	210.734	1049.682	1008.723	193.796	1011.623	1191.397	251.285	974.028	1092.434
36	0.11667	126.433	1028.668	1068.262	300.831	1087.223	1145.835	153.066	1143.350	1147.114	209.986	1049.281	1009.403	193.163	1011.636	1191.874	250.518	973.843	1093.185
37	0.12000	125.913	1028.487	1068.817	300.192	1087.037	1146.444	152.349	1143.246	1147.801	209.588	1048.784	1010.143	192.362	1011.591	1192.591	249.744	973.594	1093.804
38	0.12333	125.192	1028.413	1069.374	299.526	1086.789	1146.899	151.948	1143.300	1148.196	208.792	1048.678	1010.601	187.544	1014.197	1192.039	248.958	973.333	1094.394
39	0.12667	124.582	1028.274	1070.019	299.037	1086.503	1147.321	151.422	1143.239	1148.656	207.964	1048.398	1010.944	187.206	1013.959	1192.719	248.156	973.101	1095.204
40	0.13000	123.750	1028.129	1070.648	298.317	1086.256	1147.862	151.070	1143.316	1148.938	207.339	1047.928	1011.773	186.528	1013.954	1193.251	247.328	973.014	1095.858
41	0.13333	122.928	1028.157	1071.251	297.717	1085.995	1148.451	150.451	1143.267	1149.410	206.582	1047.744	1012.427	185.821	1013.990	1193.962	246.499	972.728	1096.538
42	0.13667	122.135	1028.062	1071.881	297.071	1085.781	1148.835	149.844	1143.210	1149.984	205.707	1047.529	1012.820	184.812	1014.109	1194.583	245.733	972.357	1097.272
43	0.14000	121.573	1027.906	1072.476	296.628	1085.385	1149.316	149.228	1143.163	1150.531	205.096	1047.130	1013.212	183.928	1014.157	1195.032	244.894	972.258	1097.838
44	0.14333	120.855	1027.689	1073.049	295.794	1085.170	1149.667	148.753	1143.142	1150.903	204.598	1046.529	1014.046	183.346	1014.109	1195.728	244.065	972.059	1098.395
45	0.14667	120.071	1027.712	1073.547	295.043	1084.969	1150.118	148.224	1143.170	1151.178	203.776	1046.326	1014.566	182.843	1013.952	1196.472	243.183	971.761	1099.050
46	0.15000	119.174	1027.600	1074.188	294.663	1084.580	1150.721	147.707	1143.112	1151.514	202.863	1046.061	1014.938	182.037	1013.978	1196.893	242.326	971.588	1099.640
47	0.15333	118.425	1027.531	1074.781	294.014	1084.261	1151.019	147.182	1143.070	1151.897	202.069	1045.880	1015.340	181.135	1013.941	1197.386	241.403	971.341	1100.235
48	0.15667	117.609	1027.369	1075.328	293.184	1084.048	1151.344	146.526	1143.000	1152.330	201.344	1045.511	1016.001	180.366	1013.893	1197.989	240.597	971.156	1100.769
49	0.16000	116.891	1027.244	1075.829	292.587	1083.774	1151.696	145.912	1142.954	1152.658	200.713	1044.854	1016.504	179.717	1013.826	1198.549	239.755	970.960	1101.313
50	0.16333	116.221	1027.074	1076.258	291.930	1083.434	1152.116	145.340	1142.889	1153.032	200.050	1044.532	1016.948	179.133	1013.689	1199.017	238.880	970.643	1101.777
51	0.16667	115.589	1026.905	1076.632	291.287	1083.081	1152.510	139.862	1141.638	1151.574	199.254	1044.308	1017.142	178.195	1013.649	1199.371	238.076	970.444	1102.215
52	0.17000	114.912	1026.699	1076.977	290.474	1082.853	1152.799	139.157	1141.530	1151.747	198.422	1043.825	1017.640	177.373	1013.602	1199.837	237.132	970.123	1102.646
53	0.17333	114.287	1026.498	1077.267	289.978	1082.481	1153.069	143.567	1142.638	1153.718	197.505	1043.669	1018.014	176.675	1013.489	1200.407	236.225	969.744	1103.132
54	0.17667	110.169	1027.763	1080.489	289.155	1082.162	1153.321	142.843	1142.489	1154.097	196.643	1043.480	1018.411	176.118	1013.287	1200.782	235.403	969.463	1103.514
55	0.18000	112.738	1025.844	1077.492	288.403	1081.875	1153.433	142.255	1142.370	1154.408	196.039	1042.754	1018.806	175.041	1013.288	1200.998	234.577	969.191	1103.869
56	0.18333	112.286	1025.545	1077.537	287.767	1081.520	1153.656	141.556	1142.285	1154.550	195.115	1042.696	1018.950	174.242	1013.119	1201.287	233.671	968.863	1104.147
57	0.18667	111.477	1025.274	1077.673	287.012	1081.141	1153.929	140.996	1142.173	1154.661	194.353	1042.260	1019.170	173.525	1013.032	1201.616	232.738	968.488	1104.470
58	0.19000	106.801	1027.201	1081.872	286.245	1080.779	1154.204	140.422	1142.063	1154.781	193.395	1041.904	1019.493	172.690	1012.808	1201.970	231.757	968.120	1104.747
59	0.19333	106.066	1026.973	1082.135	285.492	1080.390	1154.383	139.768	1141.942	1155.021	192.403	1041.811	1019.738	171.568	1012.768	1202.201	230.769	967.772	1104.947
60	0.19667	105.312	1026.785	1082.391	284.724	1079.982	1154.406	139.067	1141.728	1155.357	191.509	1041.489	1019.933	170.959	1012.474	1202.511	229.827	967.588	1105.123
61	0.20000	104.333	1026.702	1082.684	283.991	1079.584	1154.542	138.349	1141.604	1155.534	190.732	1040.950	1020.219	170.223	1012.307	1202.663	228.783	967.254	1105.341
62	0.20333	103.321	1026.654	1082.954	283.169	1079.134	1154.503	137.702	1141.494	1155.643	189.908	1040.671	1020.250	168.884	1012.224	1202.691	227.990	966.587	1105.470
63	0.20667	102.412	1026.560	1083.189	282.210	1078.680	1154.575	132.434	1140.523	1155.426	188.870	1040.448	1020.277	168.150	1011.961	1202.778	226.902	966.269	1105.587
64	0.21000	101.482	1026.498	1083.376	281.541	1078.218	1154.589	131.869	1140.358	1155.699	187.938	1040.187	1020.361	167.545	1011.630	1202.908	225.815	966.169	1105.579
65	0.21333	100.513	1026.469	1083.422	280.553	1077.693	1154.598	131.014	1140.348	1155.655	186.787	1040.239	1020.249	166.056	1011.598	1202.820	224.617	965.787	1105.690
66	0.21667	99.528	1026.462	1083.402	279.902	1077.117	1154.606	130.480	1140.270	1155.644	185.759	1039.914	1020.168	165.110	1011.389	1202.829	223.417	965.406	1105.697
67	0.22000	98.564	1026.460	1083.498	278.832	1076.576	1154.601	129.765	1140.069	1155.716	184.969	1039.510	1020.301	164.199	1011.057	1202.879	222.247	965.041	1105.653
68	0.22333	97.504	1026.502	1083.540	278.198	1075.936	1154.557	133.524	1140.750	1156.056	183.980	1039.342	1020.244	162.974	1010.872	1202.759	221.109	964.317	1105.573
69	0.22667	96.523	1026.536	1083.271	277.207	1075.274	1154.506	132.913	1140.677	1155.890	183.072	1038.936	1020.226	162.078	1010.580	1202.709	219.834	963.999	1105.446
70	0.23000	95.430	1026.627	1083.234	276.394	1074.669	1154.428	132.370	1140.685	1155.617	181.956	1038.938	1020.139	160.672	1010.368	1202.624	218.531	963.786	1105.351
71	0.23333	94.313	1026.743	1083.206	275.356	1073.963	1154.343	131.688	1140.540	1155.673	180.980	1038.717	1020.052	159.651	1010.097	1202.442	217.121	963.586	1105.109
72	0.23667	93.286	1026.833	1082.787	274.686	1073.164	1154.297	131.032	1140.437	1155.752	180.062	1038.324	1019.927	158.240	1009.944	1202.295	215.903	962.817	1105.218
73	0.24000	92.197	1027.001	1082.738	273.435	1072.570	1154.164	130.307	1140.330	1155.714	179.054	1038.298	1019.737	157.169	1009.616	1202.026	214.583	962.362	1104.978
74	0.24333	91.139	1027.149	1082.402	272.845	1071.641	1154.129	129.642	1140.256	1155.574	178.114	1038.103	1019.545	155.952	1009.329	1201.909	213.088	962.198	1104.593
75	0.24667	92.721	1025.832	1078.657	271.610	1071.016	1154.076	124.259	1139.061	1153.222	177.194	1037.727	1019.328	154.479	1009.186	1201.562	211.697	961.768	1104.408
76	0.25000	91.674	1026.066	1078.414	270.837	1070.121	1154.000	128.669	1140.216	1154.964	176.132	1037.781	1019.059	153.457	1008.863	1201.399	210.415	961.435	1104.138
77	0.25333	90.424	1026.359	1078.199	269.704	1069.348	1153.920	128.144	1140.193	1154.762	175.183	1037.498	1018.883	151.832	1008.718	1201.047	208.935	960.930	1104.128
78	0.25667	89.448	1026.598	1077.849	268.862	1068.474	1153.924	127.398	1140.107	1154.497	174.415	1037.165	1018.651	150.746	1008.457	1200.821	207.294	961.150	1103.492
79	0.26000	88.412	1026.783	1077.408	267.994	1067.571	1153.872	126.677	1140.005	1154.376	173.528	1037.061	1018.307	149.017	1008.307	1200.484	205.770	960.503	1103.249
80	0.26333	87.457	1027.012	1076.991	266.987	1066.719	1153.838	126.008	1139.892	1154.181	172.906	1036.551	1018.071	148.017	1007.966	1200.240	204.494	960.025	1103.112
81	0.26667	86.501	1027.212	1076.557	266.249	1065.782	1153.783	121.196	1139.048	1151.754	172.169	1036.212	1017.804	146.231	1007.864	1199.873	202.928	959.790	1102.839
82	0.27000	85.490	1027.465	1076.172	265.047	1064.932	1153.682	120.604	1138.924	1151.666	171.304	1036.109	1017.553	145.256	1007.504	1199.606	201.572	959.379	1102.711
83	0.27333	84.564	1027.687	1075.740	264.303	1064.000	1153.697	124.700	1139.792	1152.800	170.530	1035.777	1017.296	143.515	1007.358	1199.217	200.106	958.818	1102.558
84	0.27667	83.633	1027.871	1075.225	263.279	1063.107	1153.634	124.286	1139.671	1152.675	169.957	1035.289	1017.093	142.433	1007.096	1198.903	198.772	958.411	1102.423
85	0.28000	82.877	1027.979	1074.591	262.507	1062.112	1153.671	123.728	1139.562	1152.341	169.361	1035.027	1016.861	140.840	1006.865	1198.502	197.582	957.805	1102.169
86	0.28333	82.175	1028.076	1073.923	261.560	1061.239	1153.589	118.943	1138.595	1149.983	168.962	1034.586	1016.610	139.838	1006.525	1198.188	196.239	957.360	1101.780
87	0.28667	81.432	1028.162	1073.310	260.742	1060.279	1153.654	118.500	1138.495	1149.358	168.407	1034.025	1016.300	138.240	1006.343	1197.597	195.025	956.858	1101.546
88	0.29000	80.589	1028.286	1072.742	260.019	1059.265	1153.716	118.198	1138.349	1149.076	167.868	1033.809	1015.929	137.120	1006.004	1197.152	193.738	956.375	1101.345
89	0.29333	79.875	1028.333	1072.144	258.920	1058.496	1153.648	122.136	1139.010	1150.377	167.245	1033.653	1015.550	135.744	1005.720	1196.703	192.509	955.839	1101.184
90	0.29667	79.300	1028.347	1071.453	258.358	1057.467	1153.862	121.547	1138.756	1150.029	166.858	1033.291	1015.161	134.609	1005.406	1196.268	191.451	955.146	1100.982
91	0.30000	78.751	1028.304	1070.749	257.398	1056.550	1153.900	121.158	1138.416	1149.702	166.580	1032.753	1014.755	133.335	1005.027	1195.832	190.513	954.723	1100.566
92	0.30333	78.366	1028.222	1069.997	256.694	1055.621	1154.006	116.593	1137.394	1147.180	166.445	1032.199	1014.466	132.255	1004.612	1195.449	189.527	954.151	1100.330
