FILE_VERSION	2.0.0
NO_OF_FRAMES	16296
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-08-06, 08:59:33.376	5996.27357670
DATA_INCLUDED	6D
BODY_NAMES	handball_6
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	handball_6 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
30	0.09667	208.81428	1049.29026	1105.94700	-48.27934	-44.75631	142.68802	1.29759	-0.56478	-0.01459	-0.82511	-0.43044	-0.84786	0.30962	-0.70409	0.53002	0.47258	
31	0.10000	208.18923	1049.32610	1106.47521	-48.42033	-44.57885	142.49101	1.26155	-0.56503	-0.01240	-0.82498	-0.43370	-0.84614	0.30975	-0.70189	0.53281	0.47272	
32	0.10333	207.56872	1049.11096	1107.00810	-48.57415	-44.57563	142.38516	1.27683	-0.56425	-0.01303	-0.82550	-0.43477	-0.84531	0.31052	-0.70185	0.53411	0.47131	
33	0.10667	206.94537	1048.96376	1107.65980	-48.75003	-44.52163	142.28767	1.26478	-0.56404	-0.01372	-0.82564	-0.43613	-0.84407	0.31198	-0.70118	0.53605	0.47010	
34	0.11000	206.21389	1048.84845	1108.25918	-48.82115	-44.47985	142.27022	1.30052	-0.56431	-0.01418	-0.82544	-0.43662	-0.84345	0.31298	-0.70066	0.53702	0.46977	
35	0.11333	205.61648	1048.71576	1108.81243	-48.97269	-44.31998	142.14809	1.25823	-0.56492	-0.01338	-0.82504	-0.43902	-0.84173	0.31425	-0.69866	0.53973	0.46963	
36	0.11667	205.66616	1049.00006	1109.27850	-49.85296	-43.53497	141.47116	1.50873	-0.56713	-0.01027	-0.82357	-0.45158	-0.83235	0.32134	-0.68880	0.55415	0.46742	
37	0.12000	205.02476	1048.79009	1109.93317	-49.97790	-43.54501	141.37865	1.50712	-0.56630	-0.01079	-0.82413	-0.45242	-0.83173	0.32178	-0.68892	0.55507	0.46613	
38	0.12333	203.66014	1049.11851	1110.25074	-50.89606	-43.49950	140.48224	1.96208	-0.55958	-0.01072	-0.82871	-0.46157	-0.82646	0.32237	-0.68835	0.56290	0.45752	
39	0.12667	203.06129	1048.91244	1110.81072	-50.94187	-43.40522	140.52200	1.88987	-0.56077	-0.01124	-0.82789	-0.46190	-0.82560	0.32408	-0.68715	0.56414	0.45778	
40	0.13000	202.38871	1048.76621	1111.38846	-51.13377	-43.32257	140.42828	1.90652	-0.56078	-0.01204	-0.82788	-0.46345	-0.82401	0.32591	-0.68611	0.56644	0.45651	
41	0.13333	201.66643	1048.64691	1112.00652	-51.24305	-43.24114	140.35492	1.87293	-0.56094	-0.01194	-0.82777	-0.46479	-0.82289	0.32683	-0.68507	0.56807	0.45604	
42	0.13667	200.88374	1048.50795	1112.56228	-51.36304	-43.15617	140.30247	1.91290	-0.56129	-0.01227	-0.82753	-0.46595	-0.82168	0.32823	-0.68399	0.56982	0.45548	
43	0.14000	200.22476	1048.33322	1113.06751	-51.49075	-43.08829	140.20215	1.93653	-0.56110	-0.01216	-0.82766	-0.46745	-0.82054	0.32895	-0.68312	0.57147	0.45472	
44	0.14333	199.56860	1048.11657	1113.63149	-51.65285	-43.03205	140.16539	1.94874	-0.56131	-0.01354	-0.82749	-0.46824	-0.81925	0.33103	-0.68241	0.57328	0.45351	
45	0.14667	198.85674	1047.98162	1114.15504	-51.75606	-42.94146	140.12794	1.88972	-0.56183	-0.01380	-0.82714	-0.46930	-0.81808	0.33242	-0.68125	0.57494	0.45315	
46	0.15000	198.12842	1047.81983	1114.64936	-51.87153	-42.82252	140.05525	1.88020	-0.56232	-0.01351	-0.82681	-0.47092	-0.81666	0.33362	-0.67973	0.57696	0.45286	
47	0.15333	197.37127	1047.67064	1115.10988	-51.98262	-42.71444	139.98129	1.90436	-0.56269	-0.01323	-0.82656	-0.47247	-0.81533	0.33469	-0.67834	0.57885	0.45253	
48	0.15667	196.60447	1047.49618	1115.62687	-52.06879	-42.66725	139.97308	1.91467	-0.56305	-0.01399	-0.82630	-0.47291	-0.81452	0.33603	-0.67774	0.57997	0.45200	
49	0.16000	195.92908	1047.26891	1116.09137	-52.22816	-42.59722	139.92773	1.88672	-0.56331	-0.01510	-0.82611	-0.47389	-0.81314	0.33800	-0.67684	0.58188	0.45089	
50	0.16333	195.25903	1047.04353	1116.52485	-52.31239	-42.52847	139.87076	1.87533	-0.56346	-0.01497	-0.82601	-0.47497	-0.81220	0.33872	-0.67596	0.58318	0.45053	
51	0.16667	193.71037	1046.67080	1116.57406	-52.31553	-43.24354	140.09006	1.77758	-0.55876	-0.02367	-0.82899	-0.46736	-0.81676	0.33834	-0.68510	0.57649	0.44531	
52	0.17000	192.91148	1046.43890	1116.94096	-52.46677	-43.20061	140.03467	1.78551	-0.55870	-0.02474	-0.82900	-0.46823	-0.81561	0.33990	-0.68455	0.57807	0.44410	
53	0.17333	193.03963	1046.41992	1117.60136	-52.67078	-42.32107	139.65938	1.88532	-0.56357	-0.01553	-0.82593	-0.47863	-0.80876	0.34179	-0.67328	0.58793	0.44836	
54	0.17667	191.72181	1046.44052	1118.43588	-52.44902	-41.80617	140.04680	2.08273	-0.57140	-0.01375	-0.82055	-0.47867	-0.80658	0.34685	-0.66661	0.59096	0.45430	
55	0.18000	191.50874	1045.88709	1118.16784	-52.85781	-42.26565	139.56590	1.91246	-0.56328	-0.01647	-0.82610	-0.47997	-0.80730	0.34336	-0.67257	0.58991	0.44683	
56	0.18333	190.77280	1045.67133	1118.35454	-52.91231	-42.23256	139.49652	1.91811	-0.56299	-0.01602	-0.82631	-0.48090	-0.80677	0.34330	-0.67214	0.59065	0.44650	
57	0.18667	190.01691	1045.39473	1118.58641	-53.05631	-42.16359	139.40794	1.91893	-0.56286	-0.01631	-0.82639	-0.48230	-0.80547	0.34440	-0.67125	0.59241	0.44550	
